ID,assignee,organization_x,assignee_id,name,assignee_id1,location_id1,organization_y,assignee_id2,location_id2
568200,cc08e8ea-9ebe-4693-be09-58b3a1694fe5,Spectrix,a33bfe20-722a-4d6d-879a-19811efdedd4,Spectrix Corporation,cc08e8ea-9ebe-4693-be09-58b3a1694fe5,1c0a0a8c-16c8-11ed-9b5f-1234bde3cd05,Spectrix Corporation,a33bfe20-722a-4d6d-879a-19811efdedd4,6b912b5c-cb8e-11eb-9615-121df0c29c1e
568283,cc25de53-9900-4052-b0ff-23793457d1f7,Total Mailroom Support,f80b1aec-4404-4f3f-a981-ad6df1d3e412,"Brownstone Enterprises, Inc.",cc25de53-9900-4052-b0ff-23793457d1f7,f2f19dd5-16c7-11ed-9b5f-1234bde3cd05,"Total Mailroom Support, Inc.",f80b1aec-4404-4f3f-a981-ad6df1d3e412,3ee73de0-cb8e-11eb-9615-121df0c29c1e
571702,cc758275-904a-449a-83a8-83368fde55fd,International Catalyst Technology,565e7808-17a0-4e1c-9213-4bbcc45d82ba,"International Catalyst Technology, Inc.",cc758275-904a-449a-83a8-83368fde55fd,0a998bce-16c8-11ed-9b5f-1234bde3cd05,"International Catalyst Technology, Inc.",565e7808-17a0-4e1c-9213-4bbcc45d82ba,60039631-cb8e-11eb-9615-121df0c29c1e
571751,cc83a5fa-b210-4d2b-b83d-749d43c531d8,Edsco,58ab9eaf-19ef-41e0-aee3-a81216678e0e,"Edsco, Inc.",cc83a5fa-b210-4d2b-b83d-749d43c531d8,e7f35b52-16c7-11ed-9b5f-1234bde3cd05,"Edsco, Inc.",58ab9eaf-19ef-41e0-aee3-a81216678e0e,d7b5b762-09be-11ec-893a-12de62d610b1
571754,cc84c489-02bf-4574-9721-09ab0f3f99a9,Playboy Enterprises International,bae816f6-2f92-4c58-8929-390176b3e765,"Playboy Enterprises International, Inc.",cc84c489-02bf-4574-9721-09ab0f3f99a9,e1c05366-16c7-11ed-9b5f-1234bde3cd05,"Playboy Enterprises International, Inc.",bae816f6-2f92-4c58-8929-390176b3e765,ee4d846b-cb8e-11eb-9615-121df0c29c1e
572243,cce093cb-0914-4248-851b-9487644d6453,R E Hart Labs,6b836604-7596-43fe-a2f7-e22b4da09bb6,"R.E. Hart Labs, Inc.",cce093cb-0914-4248-851b-9487644d6453,198a3cb5-16c8-11ed-9b5f-1234bde3cd05,"R. E. Hart Labs, Inc.",6b836604-7596-43fe-a2f7-e22b4da09bb6,e8f20d31-09be-11ec-893a-12de62d610b1
572255,cce65d5e-ce73-4ad4-88c0-90e92fcafd39,JonesZylon,bcf34078-6d1f-4546-b5bf-a04dc876b544,The Jones-Zylon Company Inc.,cce65d5e-ce73-4ad4-88c0-90e92fcafd39,f2f87f50-16c7-11ed-9b5f-1234bde3cd05,Jones-Zylon Company,bcf34078-6d1f-4546-b5bf-a04dc876b544,505065dd-cb8e-11eb-9615-121df0c29c1e
572268,cced9e2b-cb71-4e0e-8161-4dc7fdf5eedd,The Fern Group,92c02443-a1ae-4127-88b7-3663e98b2852,"Norton Hospitals, Inc.",cced9e2b-cb71-4e0e-8161-4dc7fdf5eedd,07ee3b53-16c8-11ed-9b5f-1234bde3cd05,"The Fern Group, Inc.",92c02443-a1ae-4127-88b7-3663e98b2852,3dc93460-cb8e-11eb-9615-121df0c29c1e
572270,cceed358-6572-47cf-9122-95ec243ab5b7,Riley Brothers,8747f88e-6ae3-499c-b9ad-eb9fc99a6289,"Riley Brothers Farms, Inc.",cceed358-6572-47cf-9122-95ec243ab5b7,d72907e6-16c7-11ed-9b5f-1234bde3cd05,"Riley Brothers, Inc.",8747f88e-6ae3-499c-b9ad-eb9fc99a6289,a6838c72-cb8f-11eb-9615-121df0c29c1e
572522,cd31f8e7-f050-408e-a18e-663e832dc97c,F F Mengel,439193c4-c66e-40f2-aab3-00c25cc6abd3,F F Mengel Company,cd31f8e7-f050-408e-a18e-663e832dc97c,e836eab5-16c7-11ed-9b5f-1234bde3cd05,F. F. Mengel Company,439193c4-c66e-40f2-aab3-00c25cc6abd3,6fdace67-cb8e-11eb-9615-121df0c29c1e
